,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2,WINNER
28,2019-176,4,Josef-MAHRINGER-32473,21,118, AUSTRIA, Left, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27,20, ARGENTINA, Right, Foil , D/13,  V/15,1
29,2019-176,2,Sergey-KHODOS-13869,32,22, RUSSIA, Right, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27,20, ARGENTINA, Right, Foil , V/15,  D/13,0
30,2019-1317,32,Giovanni-REPETTI-12529,30,127, ITALY, Right, Sabre ,Jakub-OCINSKI-26023,25,121, POLAND, Right, Sabre , V/15,  D/7,0
31,2019-1317,32,Luke-HAYNES-47392,17,348, GREAT BRITAIN, Right, Sabre ,Gibran-ZEA-34500,21,317, MEXICO, Right, Sabre , D/6,  V/15,1
32,2019-1317,32,Oscar-FERNANDEZ_BLANCO-35237,20,290, SPAIN, Right, Sabre ,Luca-RAMPAZZO-48427,21,325, ITALY, Right, Sabre , D/13,  V/15,1
33,2019-1317,32,Edward-BARLOY-20556,28,190, FRANCE, Right, Sabre ,Stefano_Ivan-LUCCHETTI-29223,21,53, ARGENTINA, Right, Sabre , V/15,  D/9,0
34,2019-1317,32,Arne-DE_RIDDER-35917,18,123, BELGIUM, Right, Sabre ,Leandre-OLLIVIER-42100,19,367, FRANCE, Right, Sabre , V/15,  D/12,0
35,2019-1317,32,Alexandros-POLIAKOV-29301,23,352, GREECE, Right, Sabre ,Alberto-PELLEGRINI-11021,30,82, ITALY, Right, Sabre , D/9,  V/15,1
36,2019-1317,32,Bertie-HOLDSWORTH-42295,18,342, GREAT BRITAIN, Right, Sabre ,George-SUDDARDS-37679,21,327, GREAT BRITAIN, Right, Sabre , D/10,  V/15,1
37,2019-1317,32,Jamie-CRAZE-38719,19,370, GREAT BRITAIN, Right, Sabre ,James-HONEYBONE-18996,28,37, GREAT BRITAIN, Right, Sabre , D/8,  V/15,1
38,2019-1317,32,Tamas-GALGOCZY-33859,21,312, HUNGARY, Right, Sabre ,Nathan-DEMEESTER__BERNAMONT-42221,19,284, FRANCE, Right, Sabre , V/15,  D/6,0
39,2019-1317,32,Ethan-REN-36309,22,291, GREAT BRITAIN, Right, Sabre ,Martin-NAGY-34551,20,287, HUNGARY, Right, Sabre , D/7,  V/15,1
40,2019-1317,32,Alberto-ARPINO-35850,20,189, ITALY, Right, Sabre ,Jules_Emile-DE_VISSCHER-26203,23,159, BELGIUM, Right, Sabre , V/15,  D/9,0
41,2019-1317,32,Francesco-DARMIENTO-24278,24,119, ITALY, Right, Sabre ,Jonathan-WEBB-31056,22,60, GREAT BRITAIN, Right, Sabre , D/10,  V/15,1
42,2019-1317,32,Francois-CAUCHON-38863,18,320, CANADA, Right, Sabre ,Kostiantyn-VORONOV-21500,22,48, ISRAEL, Right, Sabre , V/15,  D/12,0
43,2019-1317,32,Ivan-MANDOV-33063,20,360, BULGARIA, Right, Sabre ,Raffaele-MINISCHETTI-36653,20,283, ITALY, Right, Sabre , D/9,  V/15,1
44,2019-1317,32,Matteo-CEDERLE-42074,19,331, ITALY, Left, Sabre ,Nicolas-MATIAS-42926,21,384, PORTUGAL, Right, Sabre , V/15,  D/12,0
45,2019-1317,32,Barnaby-HALLIWELL-44876,18,378, GREAT BRITAIN, Right, Sabre ,Stefano-SCEPI-20538,26,57, ITALY, Right, Sabre , D/7,  V/15,1
46,2019-1317,16,Giovanni-REPETTI-12529,30,127, ITALY, Right, Sabre ,Gibran-ZEA-34500,21,317, MEXICO, Right, Sabre , V/15,  D/6,0
47,2019-1317,16,Luca-RAMPAZZO-48427,21,325, ITALY, Right, Sabre ,Edward-BARLOY-20556,28,190, FRANCE, Right, Sabre , D/10,  V/15,1
48,2019-1317,16,Arne-DE_RIDDER-35917,18,123, BELGIUM, Right, Sabre ,Alberto-PELLEGRINI-11021,30,82, ITALY, Right, Sabre , D/9,  V/15,1
49,2019-1317,16,George-SUDDARDS-37679,21,327, GREAT BRITAIN, Right, Sabre ,James-HONEYBONE-18996,28,37, GREAT BRITAIN, Right, Sabre , D/10,  V/15,1
50,2019-1317,16,Tamas-GALGOCZY-33859,21,312, HUNGARY, Right, Sabre ,Martin-NAGY-34551,20,287, HUNGARY, Right, Sabre , D/12,  V/15,1
51,2019-1317,16,Alberto-ARPINO-35850,20,189, ITALY, Right, Sabre ,Jonathan-WEBB-31056,22,60, GREAT BRITAIN, Right, Sabre , D/14,  V/15,1
52,2019-1317,16,Francois-CAUCHON-38863,18,320, CANADA, Right, Sabre ,Raffaele-MINISCHETTI-36653,20,283, ITALY, Right, Sabre , D/2,  V/15,1
53,2019-1317,16,Matteo-CEDERLE-42074,19,331, ITALY, Left, Sabre ,Stefano-SCEPI-20538,26,57, ITALY, Right, Sabre , D/2,  V/15,1
54,2019-1317,8,Giovanni-REPETTI-12529,30,127, ITALY, Right, Sabre ,Edward-BARLOY-20556,28,190, FRANCE, Right, Sabre , V/15,  D/3,0
55,2019-1317,8,Alberto-PELLEGRINI-11021,30,82, ITALY, Right, Sabre ,James-HONEYBONE-18996,28,37, GREAT BRITAIN, Right, Sabre , D/12,  V/15,1
56,2019-1317,8,Martin-NAGY-34551,20,287, HUNGARY, Right, Sabre ,Jonathan-WEBB-31056,22,60, GREAT BRITAIN, Right, Sabre , D/6,  V/15,1
57,2019-1317,8,Raffaele-MINISCHETTI-36653,20,283, ITALY, Right, Sabre ,Stefano-SCEPI-20538,26,57, ITALY, Right, Sabre , D/14,  V/15,1
58,2019-1317,4,Giovanni-REPETTI-12529,30,127, ITALY, Right, Sabre ,James-HONEYBONE-18996,28,37, GREAT BRITAIN, Right, Sabre , V/15,  D/10,0
59,2019-1317,4,Jonathan-WEBB-31056,22,60, GREAT BRITAIN, Right, Sabre ,Stefano-SCEPI-20538,26,57, ITALY, Right, Sabre , D/12,  V/15,1
60,2019-1317,2,Giovanni-REPETTI-12529,30,127, ITALY, Right, Sabre ,Stefano-SCEPI-20538,26,57, ITALY, Right, Sabre , V/15,  D/14,0
61,2019-1330,32,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Daniel-GIACON-38932,18,103, NETHERLANDS, Right, Foil , V/15,  D/7,0
62,2019-1330,32,Ryohei-NOGUCHI-28714,22,264, JAPAN, Right, Foil ,Gabor-BELLOVICZ-35180,20,385, HUNGARY, Right, Foil , D/10,  V/15,1
63,2019-1330,32,Lorenzo-NISTA-21729,25,63, ITALY, Right, Foil ,Seishiro-FUNAMOTO-24407,25,389, JAPAN, Right, Foil , V/15,  D/12,0
64,2019-1330,32,Dominic-DE_ALMEIDA-36836,19,292, GREAT BRITAIN, Right, Foil ,Mark-PERELMANN-25831,24,323, ISRAEL, Right, Foil , V/15,  D/14,0
65,2019-1330,32,Dirk_Jan-VAN_EGMOND-26369,25,321, NETHERLANDS, Right, Foil ,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM, Left, Foil , D/12,  V/15,1
66,2019-1330,32,Stephen-BROWN-35887,22,194, IRELAND, Left, Foil ,Daniel-DOSA-29031,22,53, HUNGARY, Left, Foil , D/6,  V/15,1
67,2019-1330,32,Filippo-GUERRA-24155,25,191, ITALY, Right, Foil ,Yat_Long-LEE-35446,18,277, HONG KONG, Left, Foil , V/15,  D/10,0
68,2019-1330,32,Husayn-ROSOWSKY-14698,27,276, GREAT BRITAIN, Right, Foil ,Balint-MATYAS-28212,25,293, HUNGARY, Right, Foil , V/15,  D/7,0
69,2019-1330,32,Tom-GOMBOS-38991,20,445, GERMANY, Right, Foil ,James-BROSNAN-28218,24,381, IRELAND, Left, Foil , D/6,  V/15,1
70,2019-1330,32,Stef-DE_GREEF-35143,21,134, BELGIUM, Left, Foil ,Daniel-KISS-32825,20,283, HUNGARY, Right, Foil , D/14,  V/15,1
71,2019-1330,32,Daiki-FUJINO-12713,31,131, JAPAN, Right, Foil ,Marek-TOTUSEK-40947,16,432, CZECH REPUBLIC, Right, Foil , V/15,  D/5,0
72,2019-1330,32,Tamas-LISZKAI-29935,23,327, HUNGARY, Right, Foil ,Suguru-AWAJI-13412,29,306, JAPAN, Left, Foil , D/10,  V/15,1
73,2019-1330,32,Augusto_Antonio-SERVELLO-32232,19,106, ARGENTINA, Left, Foil ,Tevfik_Burak-BABAOGLU-20910,25,322, TURKEY, Right, Foil , V/15,  D/9,0
74,2019-1330,32,Alessandro-GRIDELLI-32041,21,427, ITALY, Right, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , D/5,  V/15,1
75,2019-1330,16,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Ben-PEGGS-17227,28,88, GREAT BRITAIN, Right, Foil , V/15,  D/3,0
76,2019-1330,16,Gabor-BELLOVICZ-35180,20,385, HUNGARY, Right, Foil ,Lorenzo-NISTA-21729,25,63, ITALY, Right, Foil , D/11,  V/15,1
77,2019-1330,16,Dominic-DE_ALMEIDA-36836,19,292, GREAT BRITAIN, Right, Foil ,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM, Left, Foil , D/11,  V/15,1
78,2019-1330,16,Filippo-GUERRA-24155,25,191, ITALY, Right, Foil ,Husayn-ROSOWSKY-14698,27,276, GREAT BRITAIN, Right, Foil , V/15,  D/10,0
79,2019-1330,16,James-BROSNAN-28218,24,381, IRELAND, Left, Foil ,Daniel-KISS-32825,20,283, HUNGARY, Right, Foil , D/9,  V/15,1
80,2019-1330,16,Daiki-FUJINO-12713,31,131, JAPAN, Right, Foil ,Suguru-AWAJI-13412,29,306, JAPAN, Left, Foil , V/15,  D/12,0
81,2019-1330,16,Augusto_Antonio-SERVELLO-32232,19,106, ARGENTINA, Left, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , D/10,  V/15,1
82,2019-1330,8,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Lorenzo-NISTA-21729,25,63, ITALY, Right, Foil , V/15,  D/6,0
83,2019-1330,8,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM, Left, Foil ,Daniel-DOSA-29031,22,53, HUNGARY, Left, Foil , V/15,  D/11,0
84,2019-1330,8,Filippo-GUERRA-24155,25,191, ITALY, Right, Foil ,Daniel-KISS-32825,20,283, HUNGARY, Right, Foil , V/15,  D/9,0
85,2019-1330,8,Daiki-FUJINO-12713,31,131, JAPAN, Right, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , D/6,  V/15,1
86,2019-1330,4,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM, Left, Foil , V/15,  D/6,0
87,2019-1330,4,Filippo-GUERRA-24155,25,191, ITALY, Right, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , D/8,  V/15,1
88,2019-1330,2,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC, Right, Foil ,Martino-MINUTO-12216,30,31, TURKEY, Right, Foil , V/15,  D/14,0
89,2019-393,32,Katrina-LEHIS-24108,24,9, ESTONIA, Left, Epée ,Julia-BELJAJEVA-20450,26,28, ESTONIA, Right, Epée , V/8,  D/5,0
90,2019-393,32,Eszter-MUHARI-42192,16,275, HUNGARY, Left, Epée ,Laura-SZABO-28317,25,394, HUNGARY, Right, Epée , V/15,  D/11,0
91,2019-393,32,Kristina-KUUSK-2611,33,25, ESTONIA, Right, Epée ,Tik_Lam_Debbie-HO-32966,21,437, HONG KONG, Right, Epée , V/9,  D/5,0
92,2019-393,32,Lis-ROTTLER_FAUTSCH-9667,31,105, LUXEMBOURG, Left, Epée ,Olga-LUKIANOVA-17600,30,77, RUSSIA, Right, Epée , D/12,  V/15,1
93,2019-393,32,Kata-MIHALY-19595,28,142, HUNGARY, Right, Epée ,Reka-SZABO-26222,23,95, HUNGARY, Left, Epée , V/15,  D/14,0
94,2019-393,32,Nelli-LADANYI-34497,20,369, HUNGARY, Right, Epée ,Kristina-YASINSKAYA-33673,20,322, RUSSIA, Left, Epée , V/15,  D/14,0
95,2019-393,32,Alena-KOMAROVA-26764,22,89, RUSSIA, Left, Epée ,Sophia-WEITBRECHT-32172,21,299, GERMANY, Left, Epée , V/15,  D/12,0
96,2019-393,32,Inna-BROVKO-29945,21,103, UKRAINE, Left, Epée ,Bianca-BENEA-32982,19,297, ROMANIA, Right, Epée , D/2,  V/6,1
