TABLEU,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,WINNER
32,17,348, GREAT BRITAIN, Right, Sabre ,21,317, MEXICO, Right, Sabre ,1
32,20,290, SPAIN, Right, Sabre ,21,325, ITALY, Right, Sabre ,1
32,28,190, FRANCE, Right, Sabre ,21,53, ARGENTINA, Right, Sabre ,0
32,18,123, BELGIUM, Right, Sabre ,19,367, FRANCE, Right, Sabre ,0
32,23,352, GREECE, Right, Sabre ,30,82, ITALY, Right, Sabre ,1
32,18,342, GREAT BRITAIN, Right, Sabre ,21,327, GREAT BRITAIN, Right, Sabre ,1
32,19,370, GREAT BRITAIN, Right, Sabre ,28,37, GREAT BRITAIN, Right, Sabre ,1
32,21,312, HUNGARY, Right, Sabre ,19,284, FRANCE, Right, Sabre ,0
32,22,291, GREAT BRITAIN, Right, Sabre ,20,287, HUNGARY, Right, Sabre ,1
32,20,189, ITALY, Right, Sabre ,23,159, BELGIUM, Right, Sabre ,0
32,24,119, ITALY, Right, Sabre ,22,60, GREAT BRITAIN, Right, Sabre ,1
32,18,320, CANADA, Right, Sabre ,22,48, ISRAEL, Right, Sabre ,0
32,20,360, BULGARIA, Right, Sabre ,20,283, ITALY, Right, Sabre ,1
32,19,331, ITALY, Left, Sabre ,21,384, PORTUGAL, Right, Sabre ,0
32,18,378, GREAT BRITAIN, Right, Sabre ,26,57, ITALY, Right, Sabre ,1
16,30,127, ITALY, Right, Sabre ,21,317, MEXICO, Right, Sabre ,0
16,21,325, ITALY, Right, Sabre ,28,190, FRANCE, Right, Sabre ,1
16,18,123, BELGIUM, Right, Sabre ,30,82, ITALY, Right, Sabre ,1
16,21,327, GREAT BRITAIN, Right, Sabre ,28,37, GREAT BRITAIN, Right, Sabre ,1
16,21,312, HUNGARY, Right, Sabre ,20,287, HUNGARY, Right, Sabre ,1
16,20,189, ITALY, Right, Sabre ,22,60, GREAT BRITAIN, Right, Sabre ,1
16,18,320, CANADA, Right, Sabre ,20,283, ITALY, Right, Sabre ,1
16,19,331, ITALY, Left, Sabre ,26,57, ITALY, Right, Sabre ,1
8,30,127, ITALY, Right, Sabre ,28,190, FRANCE, Right, Sabre ,0
8,30,82, ITALY, Right, Sabre ,28,37, GREAT BRITAIN, Right, Sabre ,1
8,20,287, HUNGARY, Right, Sabre ,22,60, GREAT BRITAIN, Right, Sabre ,1
8,20,283, ITALY, Right, Sabre ,26,57, ITALY, Right, Sabre ,1
4,30,127, ITALY, Right, Sabre ,28,37, GREAT BRITAIN, Right, Sabre ,0
4,22,60, GREAT BRITAIN, Right, Sabre ,26,57, ITALY, Right, Sabre ,1
2,30,127, ITALY, Right, Sabre ,26,57, ITALY, Right, Sabre ,0
32,24,19, CZECH REPUBLIC, Right, Foil ,18,103, NETHERLANDS, Right, Foil ,0
32,22,264, JAPAN, Right, Foil ,20,385, HUNGARY, Right, Foil ,1
32,25,63, ITALY, Right, Foil ,25,389, JAPAN, Right, Foil ,0
32,19,292, GREAT BRITAIN, Right, Foil ,24,323, ISRAEL, Right, Foil ,0
