TABLEU,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,WINNER
32,25,321, NETHERLANDS,0.0,1.0,20,107, BELGIUM,1.0,1.0,1.0
32,22,194, IRELAND,1.0,1.0,22,53, HUNGARY,1.0,1.0,1.0
32,25,191, ITALY,0.0,1.0,18,277, HONG KONG,1.0,1.0,0.0
32,27,276, GREAT BRITAIN,0.0,1.0,25,293, HUNGARY,0.0,1.0,0.0
32,20,445, GERMANY,0.0,1.0,24,381, IRELAND,1.0,1.0,1.0
32,21,134, BELGIUM,1.0,1.0,20,283, HUNGARY,0.0,1.0,1.0
32,31,131, JAPAN,0.0,1.0,16,432, CZECH REPUBLIC,0.0,1.0,0.0
32,23,327, HUNGARY,0.0,1.0,29,306, JAPAN,1.0,1.0,1.0
32,19,106, ARGENTINA,1.0,1.0,25,322, TURKEY,0.0,1.0,0.0
32,21,427, ITALY,0.0,1.0,30,31, TURKEY,0.0,1.0,1.0
16,24,19, CZECH REPUBLIC,0.0,1.0,28,88, GREAT BRITAIN,0.0,1.0,0.0
16,20,385, HUNGARY,0.0,1.0,25,63, ITALY,0.0,1.0,1.0
16,19,292, GREAT BRITAIN,0.0,1.0,20,107, BELGIUM,1.0,1.0,1.0
16,25,191, ITALY,0.0,1.0,27,276, GREAT BRITAIN,0.0,1.0,0.0
16,24,381, IRELAND,1.0,1.0,20,283, HUNGARY,0.0,1.0,1.0
16,31,131, JAPAN,0.0,1.0,29,306, JAPAN,1.0,1.0,0.0
16,19,106, ARGENTINA,1.0,1.0,30,31, TURKEY,0.0,1.0,1.0
8,24,19, CZECH REPUBLIC,0.0,1.0,25,63, ITALY,0.0,1.0,0.0
8,20,107, BELGIUM,1.0,1.0,22,53, HUNGARY,1.0,1.0,0.0
8,25,191, ITALY,0.0,1.0,20,283, HUNGARY,0.0,1.0,0.0
8,31,131, JAPAN,0.0,1.0,30,31, TURKEY,0.0,1.0,1.0
4,24,19, CZECH REPUBLIC,0.0,1.0,20,107, BELGIUM,1.0,1.0,0.0
4,25,191, ITALY,0.0,1.0,30,31, TURKEY,0.0,1.0,1.0
2,24,19, CZECH REPUBLIC,0.0,1.0,30,31, TURKEY,0.0,1.0,0.0
32,24,9, ESTONIA,1.0,2.0,26,28, ESTONIA,0.0,2.0,0.0
32,16,275, HUNGARY,1.0,2.0,25,394, HUNGARY,0.0,2.0,0.0
32,33,25, ESTONIA,0.0,2.0,21,437, HONG KONG,0.0,2.0,0.0
32,31,105, LUXEMBOURG,1.0,2.0,30,77, RUSSIA,0.0,2.0,1.0
32,28,142, HUNGARY,0.0,2.0,23,95, HUNGARY,1.0,2.0,0.0
32,20,369, HUNGARY,0.0,2.0,20,322, RUSSIA,1.0,2.0,0.0
32,22,89, RUSSIA,1.0,2.0,21,299, GERMANY,1.0,2.0,0.0
32,21,103, UKRAINE,1.0,2.0,19,297, ROMANIA,0.0,2.0,1.0
32,23,261, RUSSIA,0.0,2.0,21,208, GERMANY,0.0,2.0,1.0
32,29,88, ROMANIA,0.0,2.0,35,212, RUSSIA,0.0,2.0,0.0
32,21,134, RUSSIA,0.0,2.0,24,130, POLAND,1.0,2.0,1.0
32,22,379, HUNGARY,0.0,2.0,26,43, HUNGARY,0.0,2.0,1.0
32,28,18, RUSSIA,0.0,2.0,23,69, HUNGARY,0.0,2.0,0.0
32,25,433, GERMANY,0.0,2.0,22,367, HUNGARY,0.0,2.0,1.0
32,27,16, RUSSIA,0.0,2.0,22,426, ITALY,0.0,2.0,0.0
16,24,9, ESTONIA,1.0,2.0,16,275, HUNGARY,1.0,2.0,0.0
16,33,25, ESTONIA,0.0,2.0,30,77, RUSSIA,0.0,2.0,1.0
16,28,142, HUNGARY,0.0,2.0,20,369, HUNGARY,0.0,2.0,0.0
16,22,89, RUSSIA,1.0,2.0,19,297, ROMANIA,0.0,2.0,0.0
