Category, Gender, Weapon, Competition, Place, Date, Type, Event
Coupe du Monde par équipes,Vancouver,10.02.19,S,E,M,T,A
Coupe du Monde,Plovdiv,10.02.19,J,S,F,I,A
Coupe du Monde par équipes,Barcelone,10.02.19,S,E,F,T,A
Coupe du Monde,Plovdiv,09.02.19,J,S,M,I,A
Coupe du Monde ,Barcelone,08.02.19,S,E,F,I,A
Grand Prix,Turin,08.02.19,S,F,F,I,GP
Grand Prix,Turin,08.02.19,S,F,M,I,GP
Coupe du Monde,Vancouver,08.02.19,S,E,M,I,A
Coupe du Monde par équipes,Belgrade,03.02.19,J,E,M,T,A
Coupe du Monde par équipes,Bochum,03.02.19,J,F,F,T,A
Coupe du Monde par équipes,Leszno,03.02.19,J,F,M,T,A
Coupe du Monde par équipes,Varsovie,03.02.19,S,S,M,T,A
Grand Prix Bratislava Coupe du Monde Junior par eq,Bratislava,03.02.19,J,E,F,T,A
Coupe du Monde,Leszno,02.02.19,J,F,M,I,A
Coupe du Monde,Bochum,02.02.19,J,F,F,I,A
Grand Prix Bratislava Coupe du Monde Junior,Bratislava,02.02.19,J,E,F,I,A
Coupe du Monde,Belgrade,02.02.19,J,E,M,I,A
Coupe du Monde,Varsovie,01.02.19,S,S,M,I,A
Coupe du Monde par équipes,St-Maur,27.01.19,S,F,F,T,A
Coupe du Monde par équipes,Tokyo,27.01.19,S,F,M,T,A
2019 Absolute Fencing Gear FIE WC par equipe,Salt Lake City ,27.01.19,S,S,F,T,A
Coupe du Monde,St-Maur,25.01.19,S,F,F,I,A
Grand Prix du Qatar,Doha,25.01.19,S,E,M,I,GP
Grand Prix du Qatar,Doha,25.01.19,S,E,F,I,GP
Coupe du Monde,Tokyo,25.01.19,S,F,M,I,A
Coupe du Monde,St-Maur,25.01.19,S,F,F,I,A
Coupe du Monde par équipes,Aix-en-Provence,20.01.19,J,F,M,T,A
Coupe du Monde,Manama,20.01.19,J,E,M,I,A
Coupe du Monde par équipes,Zagreb,20.01.19,J,F,F,T,A
Coupe du Monde par équipes,Phoenix,20.01.19,J,S,M,T,A
Coupe du Monde par équipes,Segovia,20.01.19,J,S,F,T,A
Coupe du Monde,Maalot,19.01.19,J,E,F,I,A
Coupe du Monde,Segovia,19.01.19,J,S,F,I,A
Coupe du Monde,Aix-en-Provence,19.01.19,J,F,M,I,A
Coupe du Monde,Zagreb,19.01.19,J,F,F,I,A
Coupe du Monde,Phoenix,19.01.19,J,S,M,I,A
Coupe du Monde par équipes,La Havane,13.01.19,S,E,F,T,A
Coupe du Monde par équipes,Katowice,13.01.19,S,F,F,T,A
Coupe du Monde par équipes,Paris,13.01.19,S,F,M,T,A
Coupe du Monde par équipes,Heidenheim,12.01.19,S,E,M,T,A
Coupe du Monde,Paris,11.01.19,S,F,M,I,A
Coupe du Monde,La Havane,11.01.19,S,E,F,I,A
