,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
0,ANDREYEVA-Darya-25941,24,77, BELARUS, Right, Sabre 
1,ANGEL-RIVERA-34766,19,9999999, GUATEMALA, Right, Foil 
2,ANNIC-Edern-28759,23,134, FRANCE, Right, Sabre 
3,A_Kristin-PAYNE-9236,78,9999999, GREAT BRITAIN, Right, Foil 
4,A_Lam-SHIN-10773,32,36, KOREA, Right, Epée 
5,Aaron_Jose-JIMENEZ_ORTIZ-31024,25,9999999, VENEZUELA, Right, Epée 
6,Aarya-BERTHIER-32053,20,517, SINGAPORE, Right, Foil 
7,Abbas_Abdulwahid-MOHSIN-24777,23,895, IRAQ, Right, Epée 
8,Abbi-MATTHEWS-12151,29,9999999, GREAT BRITAIN, Right, Epée 
9,Abdallah-TAHLA-40016,16,9999999, JORDAN, Right, Sabre 
10,Abdelkarim-EL_HAOUARI-31226,25,1060, MOROCCO, Right, Epée 
11,Abdelrahman-ADEL-32718,22,92, EGYPT, Right, Epée 
12,Abdelrhman-OSSAMA-46294,16,9999999, EGYPT, Left, Foil 
13,Abderrahmane_Ayoub-BEHLOUL-32429,21,9999999, ALGERIA, Right, Sabre 
14,Abdoul-KAFAR_KANE-34934,21,102, MALI, Right, Sabre 
15,Abdoul_Aziz_Melson-SOUMAHORO-43380,21,9999999, COTE D'IVOIRE, Left, Sabre 
16,Abdoulaye-THIAM-5874,35,9999999, SENEGAL, Right, Sabre 
17,Abdulaziz-ALABID-37457,19,9999999, SAUDI ARABIA, Right, Foil 
18,Abdulaziz-ALSHATTI-20382,28,215, KUWAIT, Right, Epée 
19,Abdulaziz-JOMAH-45069,17,9999999, KUWAIT, Right, Sabre 
20,Abdulaziz_Kh-JAHRAMI-35296,19,9999999, KUWAIT, Right, Foil 
21,Abdulbosid-NASIRDINOV-32975,21,362, UZBEKISTAN, Left, Epée 
22,Abdulhadi-ALAJMI-31591,22,9999999, KUWAIT, Right, Epée 
23,Abdulla-ABDULLA-45101,20,9999999, EGYPT, Left, Epée 
24,Abdulla-HASANOV-30298,22,9999999, AZERBAIJAN, Right, Sabre 
25,Abdullah-ALHARBI-43757,16,245, KUWAIT, Right, Foil 
26,Abdullah-ALSHAMALI-25216,25,9999999, KUWAIT, Right, Sabre 
27,Abdullah-AL_HAMMADI-26206,24,278, UNITED ARAB EMIRATES, Right, Epée 
28,Abdullah_K-ALDOSSARI-34665,22,9999999, SAUDI ARABIA, Left, Epée 
29,Abdulrahman-AL_HASHEMI-32100,21,9999999, QATAR, Left, Epée 
30,Abdulwahab-ALZAIR-18587,27,9999999, KUWAIT, Left, Sabre 
31,Abdussalam-ABUJTELA-34192,18,194, LIBYA, Left, Epée 
32,Abigail-VALDEZ_ANDRADE-36803,18,376, MEXICO, Right, Sabre 
33,Abigail-WATKINS-44161,17,9999999, GREAT BRITAIN, Right, Epée 
34,Abik-BOUNGAB-32425,20,55, ALGERIA, Left, Sabre 
35,Aboubacar-CONTE-40575,22,9999999, GUINEA, Right, Sabre 
36,Abraham-RODRIGUEZ-16063,31,164, VENEZUELA, Right, Sabre 
37,Abraham_Mohamed_Yacine-FOFANA-43453,20,9999999, COTE D'IVOIRE, Right, Epée 
