,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
4,A_Lam-SHIN-10773,32,36, KOREA, Right, Epée 
5,Aaron_Jose-JIMENEZ_ORTIZ-31024,25,9999999, VENEZUELA, Right, Epée 
7,Abbas_Abdulwahid-MOHSIN-24777,23,895, IRAQ, Right, Epée 
8,Abbi-MATTHEWS-12151,29,9999999, GREAT BRITAIN, Right, Epée 
10,Abdelkarim-EL_HAOUARI-31226,25,1060, MOROCCO, Right, Epée 
11,Abdelrahman-ADEL-32718,22,92, EGYPT, Right, Epée 
18,Abdulaziz-ALSHATTI-20382,28,215, KUWAIT, Right, Epée 
21,Abdulbosid-NASIRDINOV-32975,21,362, UZBEKISTAN, Left, Epée 
22,Abdulhadi-ALAJMI-31591,22,9999999, KUWAIT, Right, Epée 
23,Abdulla-ABDULLA-45101,20,9999999, EGYPT, Left, Epée 
27,Abdullah-AL_HAMMADI-26206,24,278, UNITED ARAB EMIRATES, Right, Epée 
28,Abdullah_K-ALDOSSARI-34665,22,9999999, SAUDI ARABIA, Left, Epée 
29,Abdulrahman-AL_HASHEMI-32100,21,9999999, QATAR, Left, Epée 
31,Abdussalam-ABUJTELA-34192,18,194, LIBYA, Left, Epée 
33,Abigail-WATKINS-44161,17,9999999, GREAT BRITAIN, Right, Epée 
37,Abraham_Mohamed_Yacine-FOFANA-43453,20,9999999, COTE D'IVOIRE, Right, Epée 
42,Adam-LARSSON-6214,41,900, SWEDEN, Right, Epée 
43,Adam-MACSKA-37411,18,394, ROMANIA, Left, Epée 
48,Adam-RODNEY-19090,33,240, USA, Right, Epée 
53,Adela-DANCIU-30070,24,342, ROMANIA, Right, Epée 
54,Adele-KAROBLYTE-31110,23,9999999, LITHUANIA, Right, Epée 
60,Adham-AZZEITOUNI-32827,21,9999999, LIBYA, Right, Epée 
62,Adi-GUTMAN-30575,21,9999999, ISRAEL, Left, Epée 
63,Adiact_Samuel-ESPINOZA_SOMOZA-36510,22,9999999, NICARAGUA, Right, Epée 
64,Adilson_Jose_F_-ANTONIO-30964,26,360, ANGOLA, Right, Epée 
68,Adrian-DABIJA-30620,21,256, ROMANIA, Right, Epée 
70,Adrian-GRIFFIN-36362,51,9999999, GREAT BRITAIN, Left, Epée 
73,Adrian-POP-7910,33,9999999, ROMANIA, Right, Epée 
77,Adrian-WAGNER-36456,27,9999999, GERMANY, Right, Epée 
79,Adrian_Ciprian-SZILAGYI-17761,31,717, ROMANIA, Right, Epée 
