,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2
60,2019-1317,2,Giovanni-REPETTI-12529,30,127, ITALY,0.0,0.0,Stefano-SCEPI-20538,26,57, ITALY,0.0,0.0, V/15,  D/14
61,2019-1330,32,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC,0.0,1.0,Daniel-GIACON-38932,18,103, NETHERLANDS,0.0,1.0, V/15,  D/7
62,2019-1330,32,Ryohei-NOGUCHI-28714,22,264, JAPAN,0.0,1.0,Gabor-BELLOVICZ-35180,20,385, HUNGARY,0.0,1.0, D/10,  V/15
63,2019-1330,32,Lorenzo-NISTA-21729,25,63, ITALY,0.0,1.0,Seishiro-FUNAMOTO-24407,25,389, JAPAN,0.0,1.0, V/15,  D/12
64,2019-1330,32,Dominic-DE_ALMEIDA-36836,19,292, GREAT BRITAIN,0.0,1.0,Mark-PERELMANN-25831,24,323, ISRAEL,0.0,1.0, V/15,  D/14
65,2019-1330,32,Dirk_Jan-VAN_EGMOND-26369,25,321, NETHERLANDS,0.0,1.0,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM,1.0,1.0, D/12,  V/15
66,2019-1330,32,Stephen-BROWN-35887,22,194, IRELAND,1.0,1.0,Daniel-DOSA-29031,22,53, HUNGARY,1.0,1.0, D/6,  V/15
67,2019-1330,32,Filippo-GUERRA-24155,25,191, ITALY,0.0,1.0,Yat_Long-LEE-35446,18,277, HONG KONG,1.0,1.0, V/15,  D/10
68,2019-1330,32,Husayn-ROSOWSKY-14698,27,276, GREAT BRITAIN,0.0,1.0,Balint-MATYAS-28212,25,293, HUNGARY,0.0,1.0, V/15,  D/7
69,2019-1330,32,Tom-GOMBOS-38991,20,445, GERMANY,0.0,1.0,James-BROSNAN-28218,24,381, IRELAND,1.0,1.0, D/6,  V/15
70,2019-1330,32,Stef-DE_GREEF-35143,21,134, BELGIUM,1.0,1.0,Daniel-KISS-32825,20,283, HUNGARY,0.0,1.0, D/14,  V/15
71,2019-1330,32,Daiki-FUJINO-12713,31,131, JAPAN,0.0,1.0,Marek-TOTUSEK-40947,16,432, CZECH REPUBLIC,0.0,1.0, V/15,  D/5
72,2019-1330,32,Tamas-LISZKAI-29935,23,327, HUNGARY,0.0,1.0,Suguru-AWAJI-13412,29,306, JAPAN,1.0,1.0, D/10,  V/15
73,2019-1330,32,Augusto_Antonio-SERVELLO-32232,19,106, ARGENTINA,1.0,1.0,Tevfik_Burak-BABAOGLU-20910,25,322, TURKEY,0.0,1.0, V/15,  D/9
74,2019-1330,32,Alessandro-GRIDELLI-32041,21,427, ITALY,0.0,1.0,Martino-MINUTO-12216,30,31, TURKEY,0.0,1.0, D/5,  V/15
75,2019-1330,16,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC,0.0,1.0,Ben-PEGGS-17227,28,88, GREAT BRITAIN,0.0,1.0, V/15,  D/3
76,2019-1330,16,Gabor-BELLOVICZ-35180,20,385, HUNGARY,0.0,1.0,Lorenzo-NISTA-21729,25,63, ITALY,0.0,1.0, D/11,  V/15
77,2019-1330,16,Dominic-DE_ALMEIDA-36836,19,292, GREAT BRITAIN,0.0,1.0,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM,1.0,1.0, D/11,  V/15
78,2019-1330,16,Filippo-GUERRA-24155,25,191, ITALY,0.0,1.0,Husayn-ROSOWSKY-14698,27,276, GREAT BRITAIN,0.0,1.0, V/15,  D/10
79,2019-1330,16,James-BROSNAN-28218,24,381, IRELAND,1.0,1.0,Daniel-KISS-32825,20,283, HUNGARY,0.0,1.0, D/9,  V/15
80,2019-1330,16,Daiki-FUJINO-12713,31,131, JAPAN,0.0,1.0,Suguru-AWAJI-13412,29,306, JAPAN,1.0,1.0, V/15,  D/12
81,2019-1330,16,Augusto_Antonio-SERVELLO-32232,19,106, ARGENTINA,1.0,1.0,Martino-MINUTO-12216,30,31, TURKEY,0.0,1.0, D/10,  V/15
82,2019-1330,8,Alexander-CHOUPENITCH-21765,24,19, CZECH REPUBLIC,0.0,1.0,Lorenzo-NISTA-21729,25,63, ITALY,0.0,1.0, V/15,  D/6
83,2019-1330,8,Stef-VAN_CAMPENHOUT-37860,20,107, BELGIUM,1.0,1.0,Daniel-DOSA-29031,22,53, HUNGARY,1.0,1.0, V/15,  D/11
84,2019-1330,8,Filippo-GUERRA-24155,25,191, ITALY,0.0,1.0,Daniel-KISS-32825,20,283, HUNGARY,0.0,1.0, V/15,  D/9
85,2019-1330,8,Daiki-FUJINO-12713,31,131, JAPAN,0.0,1.0,Martino-MINUTO-12216,30,31, TURKEY,0.0,1.0, D/6,  V/15
