,,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON
5,2019-176,32,Grabiel-LUGO-30971,22, 65, VENEZUELA, Right, Epée ,Sergey-BIDA-23681,25, 57, RUSSIA, Left, Epée , D/9
6,2019-176,32,Andrei-TIMOCE-16383,29, 197, ROMANIA, Right, Epée ,Jesus-LIMARDO-28926,22, 87, VENEZUELA, Right, Epée , D/9
7,2019-176,32,Peter-SZENYI-12056,31, 326, HUNGARY, Right, Epée ,Egor-GUZHIEV-38588,20, 411, RUSSIA, Left, Epée , D/7
8,2019-176,32,Christian_Schack-LINNEMANN-29817,21, 316, DENMARK, Left, Epée ,Josef-MAHRINGER-32473,21, 118, AUSTRIA, Left, Epée , D/12
9,2019-176,32,Lucian-CIOVICA-24274,25, 367, ROMANIA, Right, Epée ,Jan-CIPAR-31188,21, 486, SLOVAKIA, Right, Epée , V/15
10,2019-176,32,Kei-MATHIS-32399,21, 543, SWITZERLAND, Right, Epée ,Vadim-ANOKHIN-22390,27, 34, RUSSIA, Right, Epée , D/7
11,2019-176,32,Dmitriy-GUSEV-29200,24, 167, RUSSIA, Left, Epée ,Georgiy-BRUEV-35105,21, 48, RUSSIA, Right, Epée , D/10
12,2019-176,32,Vladimir-CHICHEV-38587,20, 387, RUSSIA, Right, Epée ,Chak_Hin_Nicholas-CHAU-37309,23, 317, HONG KONG, Right, Epée , V/15
13,2019-176,32,Tatian-BOLBOCEANU-26550,25, 321, ROMANIA, Left, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil , D/12
14,2019-176,32,Mateusz-ANTKIEWICZ-26906,25, 82, POLAND, Right, Epée ,Pavel-SUKHOV-13829,30, 95, RUSSIA, Right, Epée , V/15
15,2019-176,16,Sergey-KHODOS-13869,32, 22, RUSSIA, Right, Epée ,Luca-SPONGA-22345,27, 412, SWITZERLAND, Right, Epée , V/15
16,2019-176,16,Adrian-DABIJA-30620,21, 256, ROMANIA, Right, Epée ,Alan-FARDZINOV-31152,23, 149, RUSSIA, Right, Epée , D/12
17,2019-176,16,Anton-GLEBKO-17758,29, 224, RUSSIA, Right, Epée ,Nikita-GLAZKOV-22630,26, 43, RUSSIA, Left, Epée , V/15
18,2019-176,16,Sergey-BIDA-23681,25, 57, RUSSIA, Left, Epée ,Jesus-LIMARDO-28926,22, 87, VENEZUELA, Right, Epée , V/15
19,2019-176,16,Egor-GUZHIEV-38588,20, 411, RUSSIA, Left, Epée ,Josef-MAHRINGER-32473,21, 118, AUSTRIA, Left, Epée , D/5
20,2019-176,16,Lucian-CIOVICA-24274,25, 367, ROMANIA, Right, Epée ,Vadim-ANOKHIN-22390,27, 34, RUSSIA, Right, Epée , V/13
21,2019-176,16,Georgiy-BRUEV-35105,21, 48, RUSSIA, Right, Epée ,Vladimir-CHICHEV-38587,20, 387, RUSSIA, Right, Epée , V/15
22,2019-176,16,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil ,Mateusz-ANTKIEWICZ-26906,25, 82, POLAND, Right, Epée , V/15
23,2019-176,8,Sergey-KHODOS-13869,32, 22, RUSSIA, Right, Epée ,Alan-FARDZINOV-31152,23, 149, RUSSIA, Right, Epée , V/15
24,2019-176,8,Anton-GLEBKO-17758,29, 224, RUSSIA, Right, Epée ,Sergey-BIDA-23681,25, 57, RUSSIA, Left, Epée , V/15
25,2019-176,8,Josef-MAHRINGER-32473,21, 118, AUSTRIA, Left, Epée ,Lucian-CIOVICA-24274,25, 367, ROMANIA, Right, Epée , V/15
26,2019-176,8,Georgiy-BRUEV-35105,21, 48, RUSSIA, Right, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil , D/11
27,2019-176,4,Sergey-KHODOS-13869,32, 22, RUSSIA, Right, Epée ,Anton-GLEBKO-17758,29, 224, RUSSIA, Right, Epée , V/15
28,2019-176,4,Josef-MAHRINGER-32473,21, 118, AUSTRIA, Left, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil , D/13
29,2019-176,2,Sergey-KHODOS-13869,32, 22, RUSSIA, Right, Epée ,Jesus_Andres-LUGONES_RUGGERI-28887,27, 20, ARGENTINA, Right, Foil , V/15
30,2019-1317,32,Giovanni-REPETTI-12529,30, 127, ITALY, Right, Sabre ,Jakub-OCINSKI-26023,25, 121, POLAND, Right, Sabre , V/15
31,2019-1317,32,Luke-HAYNES-47392,17, 348, GREAT BRITAIN, Right, Sabre ,Gibran-ZEA-34500,21, 317, MEXICO, Right, Sabre , D/6
32,2019-1317,32,Oscar-FERNANDEZ_BLANCO-35237,20, 290, SPAIN, Right, Sabre ,Luca-RAMPAZZO-48427,21, 325, ITALY, Right, Sabre , D/13
33,2019-1317,32,Edward-BARLOY-20556,28, 190, FRANCE, Right, Sabre ,Stefano_Ivan-LUCCHETTI-29223,21, 53, ARGENTINA, Right, Sabre , V/15
34,2019-1317,32,Arne-DE_RIDDER-35917,18, 123, BELGIUM, Right, Sabre ,Leandre-OLLIVIER-42100,19, 367, FRANCE, Right, Sabre , V/15
35,2019-1317,32,Alexandros-POLIAKOV-29301,23, 352, GREECE, Right, Sabre ,Alberto-PELLEGRINI-11021,30, 82, ITALY, Right, Sabre , D/9
36,2019-1317,32,Bertie-HOLDSWORTH-42295,18, 342, GREAT BRITAIN, Right, Sabre ,George-SUDDARDS-37679,21, 327, GREAT BRITAIN, Right, Sabre , D/10
37,2019-1317,32,Jamie-CRAZE-38719,19, 370, GREAT BRITAIN, Right, Sabre ,James-HONEYBONE-18996,28, 37, GREAT BRITAIN, Right, Sabre , D/8
