CompetitionID, Tableu, Competitor1, Competitor2, ResultCompetitor1, ResultCompetitor2
2019-1317, 32, /fencers/Giovanni-REPETTI-12529/, /fencers/Jakub-OCINSKI-26023/, V/15, D/7
2019-1317, 32, /fencers/Luke-HAYNES-47392/, /fencers/Gibran-ZEA-34500/, D/6, V/15
2019-1317, 32, /fencers/Oscar-FERNANDEZ_BLANCO-35237/, /fencers/Luca-RAMPAZZO-48427/, D/13, V/15
2019-1317, 32, /fencers/Edward-BARLOY-20556/, /fencers/Stefano_Ivan-LUCCHETTI-29223/, V/15, D/9
2019-1317, 32, /fencers/Arne-DE_RIDDER-35917/, /fencers/Leandre-OLLIVIER-42100/, V/15, D/12
2019-1317, 32, /fencers/Alexandros-POLIAKOV-29301/, /fencers/Alberto-PELLEGRINI-11021/, D/9, V/15
2019-1317, 32, /fencers/Bertie-HOLDSWORTH-42295/, /fencers/George-SUDDARDS-37679/, D/10, V/15
2019-1317, 32, /fencers/Jamie-CRAZE-38719/, /fencers/James-HONEYBONE-18996/, D/8, V/15
2019-1317, 32, /fencers/Tamas-GALGOCZY-33859/, /fencers/Nathan-DEMEESTER__BERNAMONT-42221/, V/15, D/6
2019-1317, 32, /fencers/Ethan-REN-36309/, /fencers/Martin-NAGY-34551/, D/7, V/15
2019-1317, 32, /fencers/Alberto-ARPINO-35850/, /fencers/Jules_Emile-DE_VISSCHER-26203/, V/15, D/9
2019-1317, 32, /fencers/Francesco-DARMIENTO-24278/, /fencers/Jonathan-WEBB-31056/, D/10, V/15
2019-1317, 32, /fencers/Francois-CAUCHON-38863/, /fencers/Kostiantyn-VORONOV-21500/, V/15, D/12
2019-1317, 32, /fencers/Ivan-MANDOV-33063/, /fencers/Raffaele-MINISCHETTI-36653/, D/9, V/15
2019-1317, 32, /fencers/Matteo-CEDERLE-42074/, /fencers/Nicolas-MATIAS-42926/, V/15, D/12
2019-1317, 32, /fencers/Barnaby-HALLIWELL-44876/, /fencers/Stefano-SCEPI-20538/, D/7, V/15
2019-1317, 16, /fencers/Giovanni-REPETTI-12529/, /fencers/Gibran-ZEA-34500/, V/15, D/6
2019-1317, 16, /fencers/Luca-RAMPAZZO-48427/, /fencers/Edward-BARLOY-20556/, D/10, V/15
2019-1317, 16, /fencers/Arne-DE_RIDDER-35917/, /fencers/Alberto-PELLEGRINI-11021/, D/9, V/15
2019-1317, 16, /fencers/George-SUDDARDS-37679/, /fencers/James-HONEYBONE-18996/, D/10, V/15
2019-1317, 16, /fencers/Tamas-GALGOCZY-33859/, /fencers/Martin-NAGY-34551/, D/12, V/15
2019-1317, 16, /fencers/Alberto-ARPINO-35850/, /fencers/Jonathan-WEBB-31056/, D/14, V/15
2019-1317, 16, /fencers/Francois-CAUCHON-38863/, /fencers/Raffaele-MINISCHETTI-36653/, D/2, V/15
2019-1317, 16, /fencers/Matteo-CEDERLE-42074/, /fencers/Stefano-SCEPI-20538/, D/2, V/15
2019-1317, 8, /fencers/Giovanni-REPETTI-12529/, /fencers/Edward-BARLOY-20556/, V/15, D/3
2019-1317, 8, /fencers/Alberto-PELLEGRINI-11021/, /fencers/James-HONEYBONE-18996/, D/12, V/15
2019-1317, 8, /fencers/Martin-NAGY-34551/, /fencers/Jonathan-WEBB-31056/, D/6, V/15
2019-1317, 8, /fencers/Raffaele-MINISCHETTI-36653/, /fencers/Stefano-SCEPI-20538/, D/14, V/15
2019-1317, 4, /fencers/Giovanni-REPETTI-12529/, /fencers/James-HONEYBONE-18996/, V/15, D/10
2019-1317, 4, /fencers/Jonathan-WEBB-31056/, /fencers/Stefano-SCEPI-20538/, D/12, V/15
2019-1317, 2, /fencers/Giovanni-REPETTI-12529/, /fencers/Stefano-SCEPI-20538/, V/15, D/14
2019-176, 32, /fencers/Sergey-KHODOS-13869/, /fencers/Laurin-EGGENSCHWILER-5966/, V/15, D/3
2019-176, 32, /fencers/Kenneth-KNUDSEN-29797/, /fencers/Luca-SPONGA-22345/, D/13, V/15
2019-176, 32, /fencers/Adrian-DABIJA-30620/, /fencers/Giorgio-GUERRIERO-48312/, V/15, D/11
2019-176, 32, /fencers/Alan-FARDZINOV-31152/, /fencers/Vito-CAPUANO-48423/, V/15, D/12
2019-176, 32, /fencers/Anton-GLEBKO-17758/, /fencers/Vladimir-TEREKHIN-33550/, V/15, D/6
